y1,x1_NEWUOA,x1_BOBYQA,x1_LINCOA,x1_COBYLA,x1_UOBYQA,y2,x2_NEWUOA,x2_BOBYQA,x2_LINCOA,x2_COBYLA,x2_UOBYQA,y3,x3_NEWUOA,x3_BOBYQA,x3_LINCOA,x3_COBYLA,x3_UOBYQA,y4,x4_NEWUOA,x4_BOBYQA,x4_LINCOA,x4_COBYLA,x4_UOBYQA,y5,x5_NEWUOA,x5_BOBYQA,x5_LINCOA,x5_COBYLA,x5_UOBYQA,y6,x6_NEWUOA,x6_BOBYQA,x6_LINCOA,x6_COBYLA,x6_UOBYQA,y7,x7_NEWUOA,x7_BOBYQA,x7_LINCOA,x7_COBYLA,x7_UOBYQA,y8,x8_NEWUOA,x8_BOBYQA,x8_LINCOA,x8_COBYLA,x8_UOBYQA,y9,x9_NEWUOA,x9_BOBYQA,x9_LINCOA,x9_COBYLA,x9_UOBYQA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.5,0.5,0.5,0.5,0.2727272727272727
0.00684931506849315,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.00684931506849315,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.00684931506849315,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.00684931506849315,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.00684931506849315,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.00684931506849315,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.00684931506849315,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.00684931506849315,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.00684931506849315,0.5,0.5,0.5,0.5,0.2727272727272727
0.00684931506849315,0.5,0.5,0.5,0.45454545454545453,0.2727272727272727,0.00684931506849315,0.5,0.5,0.5,0.5,0.2727272727272727,0.00684931506849315,0.5,0.5,0.5,0.5,0.2727272727272727,0.00684931506849315,0.5,0.5,0.5,0.5,0.2727272727272727,0.00684931506849315,0.5,0.5,0.5,0.5,0.2727272727272727,0.00684931506849315,0.5,0.5,0.5,0.5,0.2727272727272727,0.00684931506849315,0.5,0.5,0.5,0.5,0.2727272727272727,0.00684931506849315,0.5,0.5,0.5,0.5,0.2727272727272727,0.00684931506849315,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,0.5
0.0136986301369863,0.5,0.5,0.5,0.45454545454545453,0.2727272727272727,0.0136986301369863,0.5,0.5,0.5,0.5,0.2727272727272727,0.0136986301369863,0.5,0.5,0.5,0.5,0.2727272727272727,0.0136986301369863,0.5,0.5,0.5,0.5,0.2727272727272727,0.0136986301369863,0.5,0.5,0.5,0.5,0.2727272727272727,0.0136986301369863,0.5,0.5,0.5,0.5,0.2727272727272727,0.0136986301369863,0.5,0.5,0.5,0.5,0.2727272727272727,0.0136986301369863,0.5,0.5,0.5,0.5,0.2727272727272727,0.0136986301369863,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,0.5
0.0136986301369863,0.5,0.5,0.5,0.5,0.5,0.0136986301369863,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0136986301369863,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0136986301369863,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0136986301369863,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0136986301369863,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0136986301369863,1.0,1.0,1.0,1.0,0.5,0.0136986301369863,1.0,1.0,1.0,1.0,0.5,0.0136986301369863,2.1818181818181817,2.1818181818181817,2.272727272727273,1.3333333333333333,0.75
0.02054794520547945,0.5,0.5,0.5,0.5,0.5,0.02054794520547945,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.02054794520547945,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.02054794520547945,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.02054794520547945,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.02054794520547945,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.02054794520547945,1.0,1.0,1.0,1.0,0.5,0.02054794520547945,1.0,1.0,1.0,1.0,0.5,0.02054794520547945,2.1818181818181817,2.1818181818181817,2.272727272727273,1.3333333333333333,0.75
0.02054794520547945,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.02054794520547945,0.75,0.75,0.75,0.7272727272727273,0.6666666666666666,0.02054794520547945,1.0,1.0,1.0,0.8181818181818182,0.6666666666666666,0.02054794520547945,1.0,1.0,1.0,0.8181818181818182,0.6666666666666666,0.02054794520547945,1.0,1.0,1.0,1.0,0.6666666666666666,0.02054794520547945,1.0,1.0,1.0,1.0,0.6666666666666666,0.02054794520547945,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,0.75,0.02054794520547945,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,0.75,0.02054794520547945,2.3636363636363638,2.3636363636363638,2.4545454545454546,1.6666666666666667,1.0
0.0273972602739726,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0273972602739726,0.75,0.75,0.75,0.7272727272727273,0.6666666666666666,0.0273972602739726,1.0,1.0,1.0,0.8181818181818182,0.6666666666666666,0.0273972602739726,1.0,1.0,1.0,0.8181818181818182,0.6666666666666666,0.0273972602739726,1.0,1.0,1.0,1.0,0.6666666666666666,0.0273972602739726,1.0,1.0,1.0,1.0,0.6666666666666666,0.0273972602739726,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,0.75,0.0273972602739726,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,0.75,0.0273972602739726,2.3636363636363638,2.3636363636363638,2.4545454545454546,1.6666666666666667,1.0
0.0273972602739726,0.75,0.75,0.75,0.6363636363636364,0.5555555555555556,0.0273972602739726,1.0,1.0,1.0,0.75,0.75,0.0273972602739726,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.9090909090909091,0.75,0.0273972602739726,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.75,0.0273972602739726,2.0,2.0,2.0,1.0,0.75,0.0273972602739726,2.0,2.0,2.0,1.0,0.75,0.0273972602739726,2.0,2.0,2.0,1.3333333333333333,1.0,0.0273972602739726,2.1818181818181817,2.1818181818181817,2.272727272727273,1.3333333333333333,1.0,0.0273972602739726,3.0,3.3333333333333335,4.0,5.0,2.0
0.03424657534246575,0.75,0.75,0.75,0.6363636363636364,0.5555555555555556,0.03424657534246575,1.0,1.0,1.0,0.75,0.75,0.03424657534246575,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.9090909090909091,0.75,0.03424657534246575,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.75,0.03424657534246575,2.0,2.0,2.0,1.0,0.75,0.03424657534246575,2.0,2.0,2.0,1.0,0.75,0.03424657534246575,2.0,2.0,2.0,1.3333333333333333,1.0,0.03424657534246575,2.1818181818181817,2.1818181818181817,2.272727272727273,1.3333333333333333,1.0,0.03424657534246575,3.0,3.3333333333333335,4.0,5.0,2.0
0.03424657534246575,1.0,1.0,1.0,0.6363636363636364,0.6666666666666666,0.03424657534246575,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.9090909090909091,1.0,0.03424657534246575,2.0,2.0,2.0,1.0,1.0,0.03424657534246575,2.0,2.0,2.0,1.0,1.0,0.03424657534246575,2.1818181818181817,2.1818181818181817,2.272727272727273,1.3333333333333333,1.0,0.03424657534246575,2.1818181818181817,2.1818181818181817,2.272727272727273,1.5,1.0,0.03424657534246575,2.1818181818181817,2.1818181818181817,2.272727272727273,4.2727272727272725,1.0,0.03424657534246575,2.3636363636363638,2.3636363636363638,2.4545454545454546,4.363636363636363,1.0,0.03424657534246575,4.545454545454546,4.181818181818182,4.545454545454546,5.909090909090909,2.0
